 Number,Item,Item Count,Location,Transaction Name,Date
TT22E08010280,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010281,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010281,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR2985,2/23/2023
TT22E08010284,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010284,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010289,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010289,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010292,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010292,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010293,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010293,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010295,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010295,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010296,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010296,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010298,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010298,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010299,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010299,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010301,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010301,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010307,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010307,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010308,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010308,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010309,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010309,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010312,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010312,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010312,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT2059,8/4/2023
TT22E08010313,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010313,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010314,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010314,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010317,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010317,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010318,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010318,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010319,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010319,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010320,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010320,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010321,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010321,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010323,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010323,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010324,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010324,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
